chunk_index,start_index,end_index,batch_size,input_tokens,output_tokens,latency_s,output_tps,total_token_tps,strict_accuracy,flexible_accuracy,min_output_tokens,max_output_tokens,finish_reasons
31,496,512,16,18656,1856,31.801110064960085,58.36274256492152,645.0089307605981,0.9375,0.9375,71,186,"{""stop"": 16}"
32,512,528,16,18598,1735,30.95814816094935,56.0434038554196,656.7899311770875,0.8125,0.8125,58,178,"{""stop"": 16}"
33,528,544,16,18591,1792,29.274314536945894,61.21407207463018,696.2759102104837,0.625,0.625,55,158,"{""stop"": 16}"
34,544,560,16,18536,1570,30.2336097760126,51.92896288704635,665.0214826795885,0.9375,0.9375,56,172,"{""stop"": 16}"
35,560,576,16,18635,1650,35.57030887005385,46.3870023177986,570.2789951615422,0.875,0.875,68,231,"{""stop"": 16}"
36,576,592,16,18759,2193,41.16100804600865,53.27857854085412,509.02543437664184,0.6875,0.6875,64,286,"{""stop"": 16}"
37,592,608,16,18588,2056,34.38325327797793,59.79655221621638,600.4085719608807,0.8125,0.8125,80,213,"{""stop"": 16}"
38,608,624,16,18637,2012,55.03410937602166,36.559145279393356,375.2036733967164,0.875,0.875,68,448,"{""stop"": 16}"
39,624,640,16,18506,1824,39.42020574200433,46.270686965401374,515.7253651352028,0.9375,0.9375,56,274,"{""stop"": 16}"
40,640,656,16,18687,1645,31.848361411015503,51.651008941107975,638.4001907541686,0.5625,0.5625,50,188,"{""stop"": 16}"
41,656,672,16,18601,1776,31.72052257298492,55.9889893337554,642.3916867420799,0.9375,0.9375,60,186,"{""stop"": 16}"
42,672,688,16,18634,1603,29.17746310995426,54.93966332710798,693.5832606055423,0.75,0.75,58,159,"{""stop"": 16}"
43,688,704,16,18774,2136,39.79719917604234,53.67211874763937,525.4138590885483,0.9375,0.9375,62,271,"{""stop"": 16}"
44,704,720,16,18506,1713,31.41658317798283,54.52534383817059,643.5773071009756,0.9375,0.9375,49,184,"{""stop"": 16}"
45,720,736,16,18700,1971,35.2043072610395,55.98746725464755,587.1724686051849,0.8125,0.8125,52,222,"{""stop"": 16}"
46,736,752,16,18659,1735,29.859919351059943,58.10464454380425,682.9891186318985,0.875,0.875,74,165,"{""stop"": 16}"
47,752,768,16,18562,1702,33.11864245601464,51.39099533625061,611.8608281397077,0.8125,0.8125,64,203,"{""stop"": 16}"
48,768,784,16,18754,2233,57.33960917009972,38.943411584402966,366.0122610487528,0.75,0.75,54,470,"{""stop"": 16}"
49,784,800,16,18666,1668,32.792505885940045,50.86528018937289,620.080699862535,0.9375,0.9375,57,199,"{""stop"": 16}"
50,800,816,16,18805,2342,43.46584828395862,53.88138256729552,486.5198963068311,0.6875,0.6875,78,310,"{""stop"": 16}"
51,816,832,16,18683,2048,46.41511628497392,44.12355637387478,446.6432847591787,0.6875,0.6875,72,349,"{""stop"": 16}"
52,832,848,16,18591,1917,35.82481892302167,53.51038909977858,572.452300291215,0.8125,0.8125,51,231,"{""stop"": 16}"
53,848,864,16,18553,1700,36.35390125296544,46.76251905320144,557.1066461085227,0.9375,0.9375,66,240,"{""stop"": 16}"
54,864,880,16,18583,1832,34.67275425395928,52.83687550696391,588.7908370494914,0.9375,0.9375,68,219,"{""stop"": 16}"
55,880,896,16,18598,1918,42.528150302008726,45.099539631503966,482.4098827319788,0.875,0.875,64,307,"{""stop"": 16}"
56,896,912,16,18487,1310,24.557866223040037,53.34339669832415,806.136812547117,0.8125,0.8125,56,111,"{""stop"": 16}"
57,912,928,16,18761,1812,32.42304275499191,55.88617989041208,634.5178691420793,0.8125,0.8125,65,191,"{""stop"": 16}"
58,928,944,16,18764,2069,38.57010521204211,53.64258118108608,540.1333464212499,0.75,0.75,75,258,"{""stop"": 16}"
59,944,960,16,18670,1763,33.24856353702489,53.0248471648034,614.5528656372251,0.75,0.75,55,203,"{""stop"": 16}"
60,960,976,16,18780,1670,31.146426456980407,53.617708031661735,656.5761252978938,0.875,0.875,61,178,"{""stop"": 16}"
61,976,992,16,18620,2032,43.106447112048045,47.13912038999999,479.09306805820853,0.8125,0.8125,70,312,"{""stop"": 16}"
62,992,1008,16,18851,2146,35.72637221997138,60.06767176882196,587.7171035088326,0.8125,0.8125,89,224,"{""stop"": 16}"
63,1008,1024,16,18780,2262,40.14461693901103,56.346284320921576,524.1549578606683,0.6875,0.6875,50,273,"{""stop"": 16}"
64,1024,1040,16,18790,1968,38.46290246897843,51.16618543250228,539.688860369859,0.75,0.75,65,258,"{""stop"": 16}"
65,1040,1056,16,18566,1951,35.58982419909444,54.819040102188595,576.4850055236307,0.75,0.75,72,228,"{""stop"": 16}"
66,1056,1072,16,18614,1796,32.08468734798953,55.97685838483135,636.1289975692694,0.8125,0.8125,71,190,"{""stop"": 16}"
67,1072,1088,16,18729,1982,35.49653787899297,55.836431337518064,583.4653528916936,0.8125,0.875,50,225,"{""stop"": 16}"
68,1088,1104,16,18711,1934,33.818030334077775,57.18842821106425,610.4731646418932,0.8125,0.8125,60,207,"{""stop"": 16}"
69,1104,1120,16,18502,1589,35.151535598910414,45.20428404980561,571.5539778757989,1.0,1.0,46,228,"{""stop"": 16}"
70,1120,1136,16,18621,1999,41.74091047805268,47.89066594632792,493.9997657895357,0.875,0.875,60,297,"{""stop"": 16}"
71,1136,1152,16,18556,2276,60.84901512507349,37.40405650480528,342.3555822091844,0.8125,0.8125,55,512,"{""length"": 1, ""stop"": 15}"
72,1152,1168,16,18590,1880,37.55389695602935,50.0613825031589,545.0832445955652,0.875,0.875,55,251,"{""stop"": 16}"
73,1168,1184,16,18753,2573,44.203637492028065,58.20787939598929,482.4489840648533,0.8125,0.8125,58,317,"{""stop"": 16}"
74,1184,1200,16,18755,2314,45.61166685097851,50.73263398946267,461.9212902005138,0.625,0.625,69,336,"{""stop"": 16}"
75,1200,1216,16,18735,1866,37.38833339198027,49.908616691651034,551.0007569478579,0.9375,0.9375,65,248,"{""stop"": 16}"
76,1216,1232,16,18648,1765,30.32667035900522,58.19959722270994,673.1038969445767,0.9375,0.9375,59,170,"{""stop"": 16}"
77,1232,1248,16,18617,2515,61.19595979095902,41.097484353396176,345.31691425684613,0.75,0.875,59,512,"{""length"": 2, ""stop"": 14}"
78,1248,1264,16,18842,1620,30.05987318197731,53.89244293190455,680.7081279460684,0.875,0.875,59,166,"{""stop"": 16}"
79,1264,1280,16,18684,1815,30.89162450598087,58.75378938548865,663.5779221008991,0.9375,0.9375,74,175,"{""stop"": 16}"
80,1280,1296,16,18619,1685,31.029567682999186,54.30304467062221,654.343631449444,0.875,0.875,51,179,"{""stop"": 16}"
81,1296,1312,16,18718,1749,31.47494948201347,55.568000228228335,650.263156472927,0.875,0.875,51,182,"{""stop"": 16}"
82,1312,1319,7,8097,917,23.75671007798519,38.59962078039431,379.4296420005172,1.0,1.0,88,192,"{""stop"": 7}"
