chunk_index,start_index,end_index,batch_size,input_tokens,output_tokens,latency_s,output_tps,total_token_tps,strict_accuracy,flexible_accuracy,min_output_tokens,max_output_tokens,finish_reasons
33,528,544,16,18591,2282,42.65585730993189,53.497928395138935,489.33490770891103,0.625,0.625,55,512,"{""length"": 1, ""stop"": 15}"
34,544,560,16,18536,1645,28.307192894048057,58.11243828228132,712.9283385864554,0.875,0.875,56,187,"{""stop"": 16}"
35,560,576,16,18635,1844,30.468163419980556,60.522190805591286,672.1442220757614,0.75,0.75,65,214,"{""stop"": 16}"
36,576,592,16,18759,2174,33.208532905904576,65.46510218201949,630.3500386275134,0.625,0.6875,70,248,"{""stop"": 16}"
37,592,608,16,18588,2036,31.602229626034386,64.42583400263356,652.6121809775613,0.75,0.75,69,213,"{""stop"": 16}"
38,608,624,16,18637,2017,41.2206439319998,48.93179260681545,501.0596155186744,0.8125,0.8125,52,512,"{""length"": 1, ""stop"": 15}"
39,624,640,16,18506,1709,31.551256095059216,54.16583082622887,640.7034933599863,0.8125,0.8125,56,273,"{""stop"": 16}"
40,640,656,16,18687,1589,27.25238604005426,58.30682119593357,744.0082483126174,0.5625,0.5625,52,156,"{""stop"": 16}"
41,656,672,16,18601,1782,29.055668914923444,61.3305446595565,701.5154274948037,0.875,0.875,59,182,"{""stop"": 16}"
42,672,688,16,18634,1982,39.00604573707096,50.81263590162708,528.5334519414449,0.75,0.75,50,448,"{""stop"": 16}"
43,688,704,16,18774,2168,39.043358672992326,55.52800972267999,536.3780348765519,0.875,0.875,63,407,"{""stop"": 16}"
44,704,720,16,18506,1728,28.53365726408083,60.560060142562484,709.1274634980379,1.0,1.0,48,184,"{""stop"": 16}"
45,720,736,16,18700,1959,30.376770882983692,64.49006734607802,680.0920374183899,0.8125,0.8125,64,199,"{""stop"": 16}"
46,736,752,16,18659,1717,27.43001850496512,62.59565591212434,742.8358094731774,0.875,0.875,69,152,"{""stop"": 16}"
47,752,768,16,18562,1797,30.3426873680437,59.2234952100045,670.9689142907522,0.8125,0.8125,59,228,"{""stop"": 16}"
48,768,784,16,18754,2015,34.28442926495336,58.77303613333874,605.7852046914701,0.6875,0.6875,56,297,"{""stop"": 16}"
49,784,800,16,18666,1709,29.143887929036282,58.64008275633362,699.1174289995889,0.75,0.75,57,204,"{""stop"": 16}"
50,800,816,16,18805,2234,32.903440562891774,67.89563528257548,639.4164148209962,0.6875,0.6875,69,218,"{""stop"": 16}"
51,816,832,16,18683,2049,34.31388379994314,59.713438791892024,604.1869268099099,0.8125,0.8125,75,296,"{""stop"": 16}"
52,832,848,16,18591,1842,30.395776832010597,60.60052388791528,672.2315443006368,0.8125,0.8125,53,220,"{""stop"": 16}"
53,848,864,16,18553,2018,41.408550287014805,48.733896405757996,496.7814583562179,0.875,0.875,68,512,"{""length"": 1, ""stop"": 15}"
54,864,880,16,18583,1901,32.55759526405018,58.388833222552776,629.1619462024046,1.0,1.0,65,267,"{""stop"": 16}"
55,880,896,16,18598,1949,31.748018641024828,61.38965779368353,647.1899941953902,0.9375,0.9375,64,256,"{""stop"": 16}"
56,896,912,16,18487,1412,26.044405232998542,54.215098688872374,764.0412526982092,0.75,0.75,56,164,"{""stop"": 16}"
57,912,928,16,18761,2002,33.908260870026425,59.041659720439675,612.3286617260185,0.6875,0.6875,62,280,"{""stop"": 16}"
58,928,944,16,18764,1962,33.218862987007014,59.06282827221999,623.9226191488438,0.875,0.875,70,277,"{""stop"": 16}"
59,944,960,16,18670,1718,30.29327906994149,56.712249473999194,673.0205717554688,0.875,0.875,54,224,"{""stop"": 16}"
60,960,976,16,18780,1718,29.207488104933873,58.82053238634332,701.8063287865339,0.875,0.875,61,196,"{""stop"": 16}"
61,976,992,16,18620,2021,34.77522097690962,58.11609367894233,593.5548192118003,0.875,0.875,74,321,"{""stop"": 16}"
62,992,1008,16,18851,2237,33.49345356901176,66.78917106564606,629.6155741762825,0.8125,0.75,88,250,"{""stop"": 16}"
63,1008,1024,16,18780,2355,36.358052346040495,64.77244648822524,581.3017649803144,0.8125,0.8125,81,313,"{""stop"": 16}"
64,1024,1040,16,18790,1984,32.858546996023506,60.380028375573055,632.2251559849569,0.75,0.75,62,260,"{""stop"": 16}"
65,1040,1056,16,18566,2006,30.963727468042634,64.78548172439424,664.390294134715,0.75,0.75,74,212,"{""stop"": 16}"
66,1056,1072,16,18614,1804,29.169112885952927,61.84624150392858,699.9870061126462,0.8125,0.8125,61,184,"{""stop"": 16}"
67,1072,1088,16,18729,2255,42.518155575031415,53.036167009187906,493.53034524203946,0.8125,0.8125,48,512,"{""length"": 1, ""stop"": 15}"
68,1088,1104,16,18711,2013,31.270940889953636,64.37286319858426,662.7239030936215,0.875,0.875,60,207,"{""stop"": 16}"
69,1104,1120,16,18502,1703,29.5904817560222,57.55229043046616,682.8209208147791,0.875,0.875,46,212,"{""stop"": 16}"
70,1120,1136,16,18621,2068,34.81655301502906,59.397034482630104,594.2288425585755,1.0,1.0,66,318,"{""stop"": 16}"
71,1136,1152,16,18556,2346,43.052450390998274,54.49167187218963,485.5008207470194,0.8125,0.8125,53,512,"{""length"": 1, ""stop"": 15}"
72,1152,1168,16,18590,2123,34.926371542038396,60.78501448238605,593.0475765302225,0.8125,0.8125,55,293,"{""stop"": 16}"
73,1168,1184,16,18753,2252,33.152171303052455,67.92918567577048,633.5934925042446,0.8125,0.8125,77,228,"{""stop"": 16}"
74,1184,1200,16,18755,2283,39.08363643998746,58.413193038102385,538.2815397002181,0.75,0.8125,69,367,"{""stop"": 16}"
75,1200,1216,16,18735,1986,32.59975544700865,60.92070240306773,635.6182651027021,0.8125,0.8125,58,255,"{""stop"": 16}"
76,1216,1232,16,18648,1739,29.991048504947685,57.98396810678739,679.7694984434011,0.875,0.875,59,212,"{""stop"": 16}"
77,1232,1248,16,18617,1847,30.67377805907745,60.2142975815595,667.1496403405704,0.9375,0.9375,62,215,"{""stop"": 16}"
78,1248,1264,16,18842,1684,28.04753650096245,60.04092373468214,731.8289789656089,0.9375,0.9375,58,167,"{""stop"": 16}"
79,1264,1280,16,18684,1849,28.898260732064955,63.983089402622255,710.5271902131112,0.875,0.875,74,162,"{""stop"": 16}"
80,1280,1296,16,18619,1687,28.763063249993138,58.65161110753398,705.9748756073415,0.875,0.875,51,189,"{""stop"": 16}"
81,1296,1312,16,18718,1788,30.31764787703287,58.97555137694238,676.3717318431658,0.8125,0.8125,63,227,"{""stop"": 16}"
82,1312,1319,7,8097,830,15.404057170031592,53.881908567228315,579.5226479272858,0.8571428571428571,0.8571428571428571,88,158,"{""stop"": 7}"
